risk,confidence,cweid,method,url_length
Medium,High,693,GET,22
Medium,Medium,264,GET,22
Low,Medium,829,GET,22
Low,Medium,829,GET,22
Informational,Medium,-1,GET,22
Low,Low,497,GET,22
Low,Low,497,GET,22
Low,Low,497,GET,22
Medium,Medium,264,GET,32
Medium,High,693,GET,21
Medium,Medium,264,GET,21
Medium,High,693,GET,33
Low,Medium,829,GET,21
Medium,Medium,264,GET,33
Low,Medium,829,GET,21
Low,Medium,829,GET,33
Medium,Medium,264,GET,50
Low,Medium,829,GET,33
Medium,Medium,264,GET,32
Informational,Medium,-1,GET,21
Informational,Medium,-1,GET,33
Low,Low,497,GET,21
Low,Low,497,GET,21
Low,Low,497,GET,21
Low,Low,497,GET,33
Low,Low,497,GET,33
Low,Low,497,GET,33
Medium,Medium,264,GET,34
Medium,Medium,264,GET,32
Medium,Medium,264,GET,29
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Medium,Medium,264,GET,31
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Low,Low,497,GET,32
Informational,Low,615,GET,29
Low,Low,497,GET,29
Informational,Low,615,GET,31
Medium,High,693,GET,45
Medium,Medium,264,GET,45
Medium,Medium,264,GET,41
Medium,High,693,GET,25
Medium,Medium,264,GET,25
Medium,High,693,GET,36
Medium,Medium,264,GET,36
Medium,High,693,GET,37
Medium,Medium,264,GET,37
Medium,Medium,264,GET,47
Medium,High,693,GET,47
Medium,Medium,264,GET,47
Medium,Medium,264,GET,34
Medium,High,693,GET,42
Medium,Medium,264,GET,42
Medium,Medium,264,GET,51
Medium,High,693,GET,47
Medium,Medium,264,GET,47
Medium,High,693,GET,75
Medium,Medium,264,GET,75
Low,Medium,829,GET,75
Medium,High,693,GET,75
Medium,Medium,264,GET,75
Low,Medium,829,GET,75
Medium,High,693,GET,88
Medium,Medium,264,GET,88
Low,Medium,829,GET,75
Medium,High,693,GET,90
Low,Medium,829,GET,88
Low,Medium,829,GET,88
Low,Medium,829,GET,75
Medium,Medium,264,GET,90
Informational,Medium,-1,GET,75
Low,Medium,829,GET,90
Low,Low,497,GET,75
Low,Low,497,GET,75
Low,Low,497,GET,75
Low,Medium,829,GET,90
Informational,Medium,-1,GET,88
Informational,Medium,-1,GET,90
Informational,Medium,-1,GET,75
Low,Low,497,GET,88
Low,Low,497,GET,90
Low,Low,497,GET,88
Low,Low,497,GET,75
Low,Low,497,GET,90
Low,Low,497,GET,75
Low,Low,497,GET,90
Low,Low,497,GET,88
Low,Low,497,GET,75
Medium,High,693,GET,89
Medium,Medium,264,GET,89
Low,Medium,829,GET,89
Low,Medium,829,GET,89
Medium,High,693,GET,89
Medium,Medium,264,GET,89
Low,Medium,829,GET,89
Informational,Medium,-1,GET,89
Medium,High,693,GET,90
Low,Medium,829,GET,89
Medium,High,693,GET,90
Medium,Medium,264,GET,90
Medium,Medium,264,GET,90
Low,Medium,829,GET,90
Low,Medium,829,GET,90
Low,Low,497,GET,89
Low,Medium,829,GET,90
Low,Low,497,GET,89
Low,Low,497,GET,89
Low,Medium,829,GET,90
Informational,Medium,-1,GET,89
Informational,Medium,-1,GET,90
Informational,Medium,-1,GET,90
Low,Low,497,GET,89
Low,Low,497,GET,90
Low,Low,497,GET,89
Low,Low,497,GET,89
Low,Low,497,GET,90
Low,Low,497,GET,90
Low,Low,497,GET,90
Low,Low,497,GET,90
Low,Low,497,GET,90
Medium,High,693,GET,90
Medium,Medium,264,GET,90
Low,Medium,829,GET,90
Low,Medium,829,GET,90
Medium,High,693,GET,66
Medium,Medium,264,GET,66
Low,Medium,829,GET,66
Low,Medium,829,GET,66
Informational,Medium,-1,GET,90
Low,Low,497,GET,90
Low,Low,497,GET,90
Low,Low,497,GET,90
Medium,High,693,GET,83
Medium,High,693,GET,66
Medium,Medium,264,GET,83
Medium,Medium,264,GET,66
Informational,Medium,-1,GET,66
Medium,High,693,GET,84
Low,Medium,829,GET,83
Low,Medium,829,GET,66
Medium,Medium,264,GET,84
Low,Low,497,GET,66
Low,Medium,829,GET,66
Low,Medium,829,GET,83
Low,Low,497,GET,66
Low,Medium,829,GET,84
Low,Low,497,GET,66
Low,Medium,829,GET,84
Informational,Medium,-1,GET,66
Low,Low,497,GET,66
Low,Low,497,GET,66
Low,Low,497,GET,66
Informational,Medium,-1,GET,83
Medium,High,693,GET,68
Low,Low,497,GET,83
Low,Low,497,GET,83
Informational,Medium,-1,GET,84
Low,Low,497,GET,83
Medium,High,693,GET,65
Low,Low,497,GET,84
Medium,Medium,264,GET,65
Medium,Medium,264,GET,68
Low,Low,497,GET,84
Low,Low,497,GET,84
Low,Medium,829,GET,68
Low,Medium,829,GET,65
Low,Medium,829,GET,68
Low,Medium,829,GET,65
Medium,High,693,GET,63
Informational,Medium,-1,GET,65
Medium,Medium,264,GET,63
Low,Low,497,GET,65
Informational,Medium,-1,GET,68
Low,Low,497,GET,65
Low,Low,497,GET,65
Low,Low,497,GET,68
Low,Low,497,GET,68
Low,Low,497,GET,68
Low,Medium,829,GET,63
Low,Medium,829,GET,63
Medium,High,693,GET,85
Medium,Medium,264,GET,85
Informational,Medium,-1,GET,63
Low,Medium,829,GET,85
Low,Medium,829,GET,85
Low,Low,497,GET,63
Low,Low,497,GET,63
Low,Low,497,GET,63
Medium,High,693,GET,85
Medium,Medium,264,GET,85
Low,Medium,829,GET,85
Low,Medium,829,GET,85
Informational,Medium,-1,GET,85
Low,Low,497,GET,85
Low,Low,497,GET,85
Low,Low,497,GET,85
Medium,High,693,GET,103
Medium,Medium,264,GET,103
Low,Medium,829,GET,103
Low,Medium,829,GET,103
Informational,Medium,-1,GET,85
Medium,High,693,GET,87
Medium,High,693,GET,84
Low,Low,497,GET,85
Medium,Medium,264,GET,87
Medium,Medium,264,GET,84
Low,Medium,829,GET,87
Low,Medium,829,GET,87
Low,Low,497,GET,85
Low,Medium,829,GET,84
Low,Low,497,GET,85
Low,Medium,829,GET,84
Informational,Medium,-1,GET,103
Informational,Medium,-1,GET,84
Informational,Medium,-1,GET,87
Low,Low,497,GET,103
Low,Low,497,GET,103
Low,Low,497,GET,103
Low,Low,497,GET,87
Low,Low,497,GET,87
Medium,High,693,GET,82
Low,Low,497,GET,84
Low,Low,497,GET,87
Low,Low,497,GET,84
Low,Low,497,GET,84
Medium,Medium,264,GET,82
Low,Medium,829,GET,82
Low,Medium,829,GET,82
Medium,High,693,GET,78
Medium,Medium,264,GET,78
Low,Medium,829,GET,78
Low,Medium,829,GET,78
Medium,High,693,GET,96
Medium,Medium,264,GET,96
Low,Medium,829,GET,96
Medium,High,693,GET,78
Low,Medium,829,GET,96
Informational,Medium,-1,GET,82
Medium,Medium,264,GET,78
Low,Medium,829,GET,78
Low,Medium,829,GET,78
Low,Low,497,GET,82
Informational,Medium,-1,GET,78
Low,Low,497,GET,82
Informational,Medium,-1,GET,78
Low,Low,497,GET,82
Low,Low,497,GET,78
Low,Low,497,GET,78
Low,Low,497,GET,78
Informational,Medium,-1,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,78
Low,Low,497,GET,96
Low,Low,497,GET,78
Low,Low,497,GET,78
Medium,High,693,GET,77
Medium,High,693,GET,80
Medium,Medium,264,GET,77
Medium,Medium,264,GET,80
Low,Medium,829,GET,77
Low,Medium,829,GET,77
Medium,High,693,GET,75
Low,Medium,829,GET,80
Low,Medium,829,GET,80
Medium,Medium,264,GET,75
Low,Medium,829,GET,75
Low,Medium,829,GET,75
Informational,Medium,-1,GET,77
Low,Low,497,GET,77
Low,Low,497,GET,77
Low,Low,497,GET,77
Informational,Medium,-1,GET,80
Informational,Medium,-1,GET,75
Low,Low,497,GET,80
Low,Low,497,GET,80
Low,Low,497,GET,80
Low,Low,497,GET,75
Medium,High,693,GET,80
Low,Low,497,GET,75
Low,Low,497,GET,75
Medium,Medium,264,GET,80
Low,Medium,829,GET,80
Low,Medium,829,GET,80
Medium,High,693,GET,80
Medium,High,693,GET,98
Medium,Medium,264,GET,98
Medium,Medium,264,GET,80
Low,Medium,829,GET,80
Low,Medium,829,GET,80
Informational,Medium,-1,GET,80
Medium,High,693,GET,82
Medium,Medium,264,GET,82
Low,Medium,829,GET,98
Low,Medium,829,GET,98
Low,Medium,829,GET,82
Low,Medium,829,GET,82
Low,Low,497,GET,80
Low,Low,497,GET,80
Low,Low,497,GET,80
Informational,Medium,-1,GET,80
Low,Low,497,GET,80
Low,Low,497,GET,80
Low,Low,497,GET,80
Medium,High,693,GET,79
Medium,Medium,264,GET,79
Low,Medium,829,GET,79
Informational,Medium,-1,GET,82
Low,Medium,829,GET,79
Medium,High,693,GET,77
Informational,Medium,-1,GET,98
Medium,Medium,264,GET,77
Low,Medium,829,GET,77
Low,Medium,829,GET,77
Low,Low,497,GET,82
Low,Low,497,GET,82
Low,Low,497,GET,82
Low,Low,497,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Informational,Medium,-1,GET,79
Low,Low,497,GET,79
Low,Low,497,GET,79
Informational,Medium,-1,GET,77
Low,Low,497,GET,79
Low,Low,497,GET,77
Low,Low,497,GET,77
Low,Low,497,GET,77
Medium,High,693,GET,99
Medium,Medium,264,GET,99
Medium,High,693,GET,99
Medium,Medium,264,GET,99
Low,Medium,829,GET,99
Low,Medium,829,GET,99
Low,Medium,829,GET,99
Medium,High,693,GET,101
Medium,Medium,264,GET,101
Low,Medium,829,GET,99
Low,Medium,829,GET,101
Low,Medium,829,GET,101
Informational,Medium,-1,GET,99
Low,Low,497,GET,99
Low,Low,497,GET,99
Low,Low,497,GET,99
Informational,Medium,-1,GET,99
Informational,Medium,-1,GET,101
Medium,High,693,GET,117
Low,Low,497,GET,99
Low,Low,497,GET,99
Medium,Medium,264,GET,117
Low,Low,497,GET,99
Low,Low,497,GET,101
Low,Low,497,GET,101
Medium,High,693,GET,98
Low,Low,497,GET,101
Medium,Medium,264,GET,98
Low,Medium,829,GET,117
Low,Medium,829,GET,98
Low,Medium,829,GET,117
Low,Medium,829,GET,98
Informational,Medium,-1,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Medium,High,693,GET,92
Medium,High,693,GET,96
Informational,Medium,-1,GET,117
Medium,Medium,264,GET,92
Medium,Medium,264,GET,96
Low,Medium,829,GET,92
Low,Medium,829,GET,92
Low,Medium,829,GET,96
Low,Low,497,GET,117
Low,Medium,829,GET,96
Low,Low,497,GET,117
Low,Low,497,GET,117
Medium,High,693,GET,92
Medium,Medium,264,GET,92
Low,Medium,829,GET,92
Low,Medium,829,GET,92
Informational,Medium,-1,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,96
Informational,Medium,-1,GET,92
Low,Low,497,GET,92
Informational,Medium,-1,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Medium,High,693,GET,89
Medium,Medium,264,GET,89
Medium,High,693,GET,94
Low,Medium,829,GET,89
Medium,Medium,264,GET,94
Low,Medium,829,GET,89
Low,Medium,829,GET,94
Low,Medium,829,GET,94
Medium,High,693,GET,91
Informational,Medium,-1,GET,89
Medium,Medium,264,GET,91
Low,Medium,829,GET,91
Low,Medium,829,GET,91
Medium,High,693,GET,110
Low,Low,497,GET,89
Medium,Medium,264,GET,110
Low,Low,497,GET,89
Low,Low,497,GET,89
Low,Medium,829,GET,110
Low,Medium,829,GET,110
Informational,Medium,-1,GET,94
Low,Low,497,GET,94
Low,Low,497,GET,94
Low,Low,497,GET,94
Informational,Medium,-1,GET,91
Low,Low,497,GET,91
Low,Low,497,GET,91
Low,Low,497,GET,91
Informational,Medium,-1,GET,110
Low,Low,497,GET,110
Low,Low,497,GET,110
Low,Low,497,GET,110
Medium,Medium,264,GET,67
Medium,High,693,GET,36
Medium,Medium,264,GET,36
Medium,Medium,264,GET,67
Medium,Medium,264,GET,63
Medium,Medium,264,GET,69
Medium,High,693,GET,26
Medium,Medium,264,GET,26
Informational,Medium,-1,GET,26
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
