alert_name,risk,confidence,cweid,method,url_length,predicted_risk
0,Medium,0,693,0,22,2
2,Medium,2,264,0,22,2
1,Low,2,829,0,22,1
1,Low,2,829,0,22,1
4,Informational,2,-1,0,22,0
5,Low,1,497,0,22,1
5,Low,1,497,0,22,1
5,Low,1,497,0,22,1
2,Medium,2,264,0,32,2
0,Medium,0,693,0,21,2
2,Medium,2,264,0,21,2
1,Low,2,829,0,21,1
1,Low,2,829,0,21,1
0,Medium,0,693,0,33,2
2,Medium,2,264,0,33,2
4,Informational,2,-1,0,21,0
1,Low,2,829,0,33,1
1,Low,2,829,0,33,1
4,Informational,2,-1,0,33,0
5,Low,1,497,0,21,1
5,Low,1,497,0,21,1
5,Low,1,497,0,21,1
5,Low,1,497,0,33,1
5,Low,1,497,0,33,1
5,Low,1,497,0,33,1
2,Medium,2,264,0,50,2
2,Medium,2,264,0,32,2
2,Medium,2,264,0,34,2
2,Medium,2,264,0,32,2
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
2,Medium,2,264,0,29,2
3,Informational,1,615,0,29,0
5,Low,1,497,0,29,1
2,Medium,2,264,0,31,2
3,Informational,1,615,0,31,0
0,Medium,0,693,0,45,2
0,Medium,0,693,0,25,2
2,Medium,2,264,0,45,2
2,Medium,2,264,0,25,2
2,Medium,2,264,0,41,2
0,Medium,0,693,0,36,2
2,Medium,2,264,0,36,2
0,Medium,0,693,0,37,2
2,Medium,2,264,0,37,2
2,Medium,2,264,0,47,2
2,Medium,2,264,0,51,2
2,Medium,2,264,0,34,2
0,Medium,0,693,0,47,2
2,Medium,2,264,0,47,2
0,Medium,0,693,0,42,2
2,Medium,2,264,0,42,2
0,Medium,0,693,0,47,2
2,Medium,2,264,0,47,2
0,Medium,0,693,0,75,2
2,Medium,2,264,0,75,2
1,Low,2,829,0,75,1
1,Low,2,829,0,75,1
4,Informational,2,-1,0,75,0
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
0,Medium,0,693,0,75,2
2,Medium,2,264,0,75,2
1,Low,2,829,0,75,1
1,Low,2,829,0,75,1
4,Informational,2,-1,0,75,0
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
0,Medium,0,693,0,88,2
2,Medium,2,264,0,88,2
0,Medium,0,693,0,89,2
2,Medium,2,264,0,89,2
1,Low,2,829,0,89,1
1,Low,2,829,0,88,1
1,Low,2,829,0,89,1
1,Low,2,829,0,88,1
4,Informational,2,-1,0,89,0
5,Low,1,497,0,89,1
5,Low,1,497,0,89,1
5,Low,1,497,0,89,1
4,Informational,2,-1,0,88,0
5,Low,1,497,0,88,1
5,Low,1,497,0,88,1
5,Low,1,497,0,88,1
0,Medium,0,693,0,90,2
2,Medium,2,264,0,90,2
1,Low,2,829,0,90,1
1,Low,2,829,0,90,1
0,Medium,0,693,0,90,2
2,Medium,2,264,0,90,2
4,Informational,2,-1,0,90,0
1,Low,2,829,0,90,1
1,Low,2,829,0,90,1
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
4,Informational,2,-1,0,90,0
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
0,Medium,0,693,0,90,2
2,Medium,2,264,0,90,2
1,Low,2,829,0,90,1
1,Low,2,829,0,90,1
0,Medium,0,693,0,89,2
2,Medium,2,264,0,89,2
1,Low,2,829,0,89,1
1,Low,2,829,0,89,1
4,Informational,2,-1,0,90,0
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
4,Informational,2,-1,0,89,0
5,Low,1,497,0,89,1
5,Low,1,497,0,89,1
5,Low,1,497,0,89,1
0,Medium,0,693,0,83,2
2,Medium,2,264,0,83,2
1,Low,2,829,0,83,1
1,Low,2,829,0,83,1
0,Medium,0,693,0,90,2
2,Medium,2,264,0,90,2
1,Low,2,829,0,90,1
4,Informational,2,-1,0,83,0
1,Low,2,829,0,90,1
5,Low,1,497,0,83,1
5,Low,1,497,0,83,1
5,Low,1,497,0,83,1
4,Informational,2,-1,0,90,0
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
5,Low,1,497,0,90,1
0,Medium,0,693,0,66,2
2,Medium,2,264,0,66,2
1,Low,2,829,0,66,1
1,Low,2,829,0,66,1
4,Informational,2,-1,0,66,0
5,Low,1,497,0,66,1
5,Low,1,497,0,66,1
5,Low,1,497,0,66,1
0,Medium,0,693,0,84,2
0,Medium,0,693,0,68,2
2,Medium,2,264,0,84,2
2,Medium,2,264,0,68,2
1,Low,2,829,0,84,1
1,Low,2,829,0,84,1
1,Low,2,829,0,68,1
1,Low,2,829,0,68,1
4,Informational,2,-1,0,68,0
5,Low,1,497,0,68,1
5,Low,1,497,0,68,1
5,Low,1,497,0,68,1
4,Informational,2,-1,0,84,0
5,Low,1,497,0,84,1
5,Low,1,497,0,84,1
5,Low,1,497,0,84,1
0,Medium,0,693,0,66,2
2,Medium,2,264,0,66,2
1,Low,2,829,0,66,1
1,Low,2,829,0,66,1
0,Medium,0,693,0,65,2
4,Informational,2,-1,0,66,0
2,Medium,2,264,0,65,2
5,Low,1,497,0,66,1
1,Low,2,829,0,65,1
5,Low,1,497,0,66,1
1,Low,2,829,0,65,1
5,Low,1,497,0,66,1
4,Informational,2,-1,0,65,0
5,Low,1,497,0,65,1
5,Low,1,497,0,65,1
5,Low,1,497,0,65,1
0,Medium,0,693,0,85,2
2,Medium,2,264,0,85,2
1,Low,2,829,0,85,1
1,Low,2,829,0,85,1
0,Medium,0,693,0,103,2
2,Medium,2,264,0,103,2
1,Low,2,829,0,103,1
1,Low,2,829,0,103,1
4,Informational,2,-1,0,85,0
5,Low,1,497,0,85,1
5,Low,1,497,0,85,1
5,Low,1,497,0,85,1
4,Informational,2,-1,0,103,0
5,Low,1,497,0,103,1
5,Low,1,497,0,103,1
5,Low,1,497,0,103,1
0,Medium,0,693,0,63,2
2,Medium,2,264,0,63,2
1,Low,2,829,0,63,1
1,Low,2,829,0,63,1
0,Medium,0,693,0,85,2
2,Medium,2,264,0,85,2
1,Low,2,829,0,85,1
1,Low,2,829,0,85,1
4,Informational,2,-1,0,63,0
5,Low,1,497,0,63,1
5,Low,1,497,0,63,1
5,Low,1,497,0,63,1
4,Informational,2,-1,0,85,0
5,Low,1,497,0,85,1
5,Low,1,497,0,85,1
5,Low,1,497,0,85,1
0,Medium,0,693,0,87,2
2,Medium,2,264,0,87,2
0,Medium,0,693,0,84,2
2,Medium,2,264,0,84,2
1,Low,2,829,0,87,1
1,Low,2,829,0,87,1
1,Low,2,829,0,84,1
1,Low,2,829,0,84,1
4,Informational,2,-1,0,84,0
5,Low,1,497,0,84,1
4,Informational,2,-1,0,87,0
5,Low,1,497,0,84,1
5,Low,1,497,0,84,1
5,Low,1,497,0,87,1
5,Low,1,497,0,87,1
5,Low,1,497,0,87,1
0,Medium,0,693,0,82,2
2,Medium,2,264,0,82,2
1,Low,2,829,0,82,1
1,Low,2,829,0,82,1
4,Informational,2,-1,0,82,0
5,Low,1,497,0,82,1
5,Low,1,497,0,82,1
5,Low,1,497,0,82,1
0,Medium,0,693,0,96,2
2,Medium,2,264,0,96,2
1,Low,2,829,0,96,1
1,Low,2,829,0,96,1
0,Medium,0,693,0,78,2
2,Medium,2,264,0,78,2
1,Low,2,829,0,78,1
1,Low,2,829,0,78,1
4,Informational,2,-1,0,96,0
4,Informational,2,-1,0,78,0
5,Low,1,497,0,96,1
5,Low,1,497,0,78,1
5,Low,1,497,0,78,1
5,Low,1,497,0,78,1
5,Low,1,497,0,96,1
5,Low,1,497,0,96,1
0,Medium,0,693,0,78,2
2,Medium,2,264,0,78,2
1,Low,2,829,0,78,1
1,Low,2,829,0,78,1
4,Informational,2,-1,0,78,0
5,Low,1,497,0,78,1
5,Low,1,497,0,78,1
5,Low,1,497,0,78,1
0,Medium,0,693,0,98,2
2,Medium,2,264,0,98,2
1,Low,2,829,0,98,1
1,Low,2,829,0,98,1
0,Medium,0,693,0,80,2
2,Medium,2,264,0,80,2
4,Informational,2,-1,0,98,0
1,Low,2,829,0,80,1
1,Low,2,829,0,80,1
5,Low,1,497,0,98,1
5,Low,1,497,0,98,1
5,Low,1,497,0,98,1
4,Informational,2,-1,0,80,0
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
0,Medium,0,693,0,77,2
2,Medium,2,264,0,77,2
1,Low,2,829,0,77,1
1,Low,2,829,0,77,1
0,Medium,0,693,0,80,2
2,Medium,2,264,0,80,2
1,Low,2,829,0,80,1
1,Low,2,829,0,80,1
4,Informational,2,-1,0,77,0
5,Low,1,497,0,77,1
5,Low,1,497,0,77,1
5,Low,1,497,0,77,1
4,Informational,2,-1,0,80,0
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
0,Medium,0,693,0,75,2
2,Medium,2,264,0,75,2
1,Low,2,829,0,75,1
1,Low,2,829,0,75,1
0,Medium,0,693,0,80,2
2,Medium,2,264,0,80,2
4,Informational,2,-1,0,75,0
5,Low,1,497,0,75,1
1,Low,2,829,0,80,1
1,Low,2,829,0,80,1
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
4,Informational,2,-1,0,80,0
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
5,Low,1,497,0,80,1
0,Medium,0,693,0,82,2
2,Medium,2,264,0,82,2
1,Low,2,829,0,82,1
1,Low,2,829,0,82,1
0,Medium,0,693,0,79,2
4,Informational,2,-1,0,82,0
2,Medium,2,264,0,79,2
1,Low,2,829,0,79,1
5,Low,1,497,0,82,1
5,Low,1,497,0,82,1
5,Low,1,497,0,82,1
1,Low,2,829,0,79,1
4,Informational,2,-1,0,79,0
5,Low,1,497,0,79,1
5,Low,1,497,0,79,1
5,Low,1,497,0,79,1
0,Medium,0,693,0,77,2
2,Medium,2,264,0,77,2
1,Low,2,829,0,77,1
1,Low,2,829,0,77,1
4,Informational,2,-1,0,77,0
5,Low,1,497,0,77,1
5,Low,1,497,0,77,1
5,Low,1,497,0,77,1
0,Medium,0,693,0,117,2
0,Medium,0,693,0,99,2
2,Medium,2,264,0,99,2
2,Medium,2,264,0,117,2
1,Low,2,829,0,99,1
1,Low,2,829,0,99,1
1,Low,2,829,0,117,1
1,Low,2,829,0,117,1
4,Informational,2,-1,0,99,0
5,Low,1,497,0,99,1
5,Low,1,497,0,99,1
5,Low,1,497,0,99,1
0,Medium,0,693,0,101,2
2,Medium,2,264,0,101,2
1,Low,2,829,0,101,1
1,Low,2,829,0,101,1
4,Informational,2,-1,0,117,0
5,Low,1,497,0,117,1
5,Low,1,497,0,117,1
5,Low,1,497,0,117,1
4,Informational,2,-1,0,101,0
5,Low,1,497,0,101,1
5,Low,1,497,0,101,1
5,Low,1,497,0,101,1
0,Medium,0,693,0,99,2
2,Medium,2,264,0,99,2
1,Low,2,829,0,99,1
1,Low,2,829,0,99,1
4,Informational,2,-1,0,99,0
5,Low,1,497,0,99,1
5,Low,1,497,0,99,1
5,Low,1,497,0,99,1
0,Medium,0,693,0,98,2
2,Medium,2,264,0,98,2
0,Medium,0,693,0,96,2
2,Medium,2,264,0,96,2
1,Low,2,829,0,96,1
1,Low,2,829,0,98,1
1,Low,2,829,0,98,1
1,Low,2,829,0,96,1
4,Informational,2,-1,0,98,0
4,Informational,2,-1,0,96,0
5,Low,1,497,0,98,1
5,Low,1,497,0,98,1
5,Low,1,497,0,96,1
5,Low,1,497,0,96,1
5,Low,1,497,0,96,1
5,Low,1,497,0,98,1
0,Medium,0,693,0,92,2
2,Medium,2,264,0,92,2
1,Low,2,829,0,92,1
1,Low,2,829,0,92,1
0,Medium,0,693,0,110,2
2,Medium,2,264,0,110,2
1,Low,2,829,0,110,1
1,Low,2,829,0,110,1
4,Informational,2,-1,0,92,0
5,Low,1,497,0,92,1
5,Low,1,497,0,92,1
5,Low,1,497,0,92,1
4,Informational,2,-1,0,110,0
5,Low,1,497,0,110,1
5,Low,1,497,0,110,1
5,Low,1,497,0,110,1
0,Medium,0,693,0,92,2
2,Medium,2,264,0,92,2
1,Low,2,829,0,92,1
1,Low,2,829,0,92,1
0,Medium,0,693,0,94,2
2,Medium,2,264,0,94,2
1,Low,2,829,0,94,1
1,Low,2,829,0,94,1
4,Informational,2,-1,0,92,0
4,Informational,2,-1,0,94,0
5,Low,1,497,0,92,1
5,Low,1,497,0,92,1
5,Low,1,497,0,92,1
5,Low,1,497,0,94,1
5,Low,1,497,0,94,1
5,Low,1,497,0,94,1
0,Medium,0,693,0,89,2
2,Medium,2,264,0,89,2
1,Low,2,829,0,89,1
1,Low,2,829,0,89,1
0,Medium,0,693,0,91,2
2,Medium,2,264,0,91,2
1,Low,2,829,0,91,1
1,Low,2,829,0,91,1
4,Informational,2,-1,0,89,0
5,Low,1,497,0,89,1
5,Low,1,497,0,89,1
4,Informational,2,-1,0,91,0
5,Low,1,497,0,89,1
5,Low,1,497,0,91,1
5,Low,1,497,0,91,1
5,Low,1,497,0,91,1
2,Medium,2,264,0,67,2
0,Medium,0,693,0,36,2
2,Medium,2,264,0,36,2
2,Medium,2,264,0,63,2
2,Medium,2,264,0,69,2
2,Medium,2,264,0,67,2
0,Medium,0,693,0,26,2
2,Medium,2,264,0,26,2
4,Informational,2,-1,0,26,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,28,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
6,Informational,2,0,0,35,0
